"CÓDIGO DE LA SERIE",DMNPDE2010_P00000_PS_APU,DMNPDE2010_P00000_PS_AES,DMNPDE2010_P00000_PS_AEA,DMNPDE2010_P00000_PS_ACS,DMNPDE2010_P00000_PS_ALS,DMNPDE2010_P00000_PS_ASG,DMNPDE2010_P00030_PS_APU,DMNPDE2010_F20000_PS_APU,DMNPDE2010_F30000_PS_APU,DMNPDE2010_F31000_PS_APU,DMNPDE2010_F32000_PS_APU,DMNPDE2010_F40000_PS_APU,DMNPDE2010_F41000_PS_APU,DMNPDE2010_F42000_PS_APU
"MAR 1997",319311355,263713605,3521505,31803086,18861322,13841648,12429811,2390834,249269160,79901036,169368124,67651361,9404084,58247277
"ABR 1997",323017233,268153406,2314829,32387038,18750124,14130332,12718495,2161460,253825299,78198039,175627260,67030474,8621092,58409383
"MAY 1997",331667900,276207238,2304280,32843831,18900709,14224390,12812547,2177387,262358206,77033275,185324931,67132307,8525214,58607092
"JUN 1997",326859750,268995067,3605895,33534886,19312053,14483528,13071679,2234134,260667619,72145690,188521929,63957996,9307800,54650196
"JUL 1997",327154326,270120372,2453009,33843227,19325863,14697488,13285633,2269830,262611740,67258545,195353196,62272756,8401722,53871034
"AGO 1997",330665786,273977198,2452527,33539682,19284519,14910847,13498986,2294898,267699325,66287046,201412279,60671562,8056129,52615433
"SEP 1997",330961479,273029445,3798810,33373071,19348286,15125408,13713541,2298186,266919475,57125493,209793982,61743818,8567700,53176118
"OCT 1997",330722842,274087774,2449813,33988199,18785183,15338767,13926894,2303859,268392180,50535223,217856957,60026803,7916522,52110281
"NOV 1997",329328003,272797616,2446025,33965789,18706695,15552727,14140848,2309897,267911719,45196602,222715117,59106386,7502536,51603850
"DIC 1997",333627253,274621204,4340340,34295152,18293725,16347559,14270727,2332734,270578334,42713609,227864725,60716185,7518971,53197214
"ENE 1998",336644707,279674794,2608671,34635868,18279598,15779603,14333828,2343789,275885978,41342709,234543269,58414939,7095607,51319332
"FEB 1998",341262114,283561530,2912925,34864173,18477710,16192498,14746723,2339235,280289055,40159603,240129452,58633824,6992644,51641179
"MAR 1998",343789160,284950947,4431059,34661476,18299897,16431100,14985319,2371440,282267236,36528278,245738958,59150483,6966462,52184021
"ABR 1998",342183006,284162414,2908136,35132033,18534636,16669101,15223314,2402594,282157839,30835394,251322445,57622574,6842938,50779637
"MAY 1998",343092299,285067561,2899439,35293804,18385708,16907102,15461315,2413841,282939179,28078180,254860999,57739280,7013546,50725734
"JUN 1998",349355679,289358481,4491287,35442339,18617779,17145103,15699310,2432901,287671312,25643007,262028305,59251466,8243110,51008356
"JUL 1998",350027709,291377279,2805407,35792091,18607140,17383104,15937311,2470719,289966750,20427524,269539226,57590240,7029865,50560375
"AGO 1998",347904179,290098089,2594345,35122382,18643565,17621706,16175907,2476585,288766744,20481222,268285523,56660849,6540365,50120484
"SEP 1998",353728052,293949492,4572113,35019889,18740753,17859707,16413902,2488070,293317470,20366009,272951461,57922512,7093374,50829138
"OCT 1998",357794369,298585369,3325789,35694425,18742974,18097708,16651897,2492758,298769686,20951801,277817884,56531926,6296947,50234979
"NOV 1998",354815251,288201129,10958334,35322355,18887615,18335709,16889892,2489003,288338713,21403648,266935065,63987536,10547800,53439735
"DIC 1998",346416957,284480190,5132534,36100054,19168564,18523520,16987905,2503297,285286317,22219472,263066845,58627343,5858736,52768607
"ENE 1999",345034716,284605553,3128334,36579043,19186172,18567394,17031779,2513330,285672582,22273718,263398864,56848805,5540430,51308375
"FEB 1999",347792449,287288149,3282120,36348444,19338121,18611767,17076152,2500646,288596984,22178349,266418636,56694819,5536718,51158101
"MAR 1999",350850706,288158914,4659380,36949775,19547022,18655744,17120129,2508330,290218516,23902278,266316238,58123860,6075082,52048777
"ABR 1999",347208797,285461386,3026407,37462042,19723348,18700021,17164406,2536787,287759033,24296606,263462427,56912977,5777711,51135266
"MAY 1999",351299009,289566817,3034067,37417064,19745447,18744141,17208526,2550052,291742385,24558063,267184321,57006573,5489470,51517103
"JUN 1999",353859629,290394101,4593164,37387470,19949279,18788568,17252953,2577587,292478845,24107735,268371110,58803197,6287704,52515493
"JUL 1999",347213548,285113622,3371916,37489747,19702648,18832394,17296779,2611446,288011088,22823478,265187611,56591014,5742164,50848849
"AGO 1999",349133939,287731479,3369419,36865746,19631680,18876514,17340899,2622859,290677174,24413847,266263327,55833906,5204499,50629407
"SEP 1999",352143633,290161094,4683617,36245102,19518206,18920640,17385025,2627434,293309258,24424138,268885120,56206942,5055471,51151471
"OCT 1999",350652571,289426282,3344108,36788654,19557911,18964767,17429152,2623067,292720338,23336742,269383595,55309166,4834568,50474598
"NOV 1999",355647234,294175906,3339038,36744239,19852436,19008887,17473272,2625004,297825324,22258991,275566332,55196907,4682274,50514633
"DIC 1999",362223472,298753638,4608868,37564926,19656156,18958697,17318812,2643492,302661945,21931562,280730383,56918035,5382158,51535877
"ENE 2000",361469075,299192013,4650723,37102812,19399643,18958697,17834812,2649706,302446522,20317736,282128786,56372847,5784948,50587899
"FEB 2000",363673949,300795076,4694377,37484574,19576037,18958697,17834812,2643859,304124375,19260433,284863941,56905715,6044817,50860898
"MAR 2000",362693773,299087038,4868284,37936126,19709940,18958697,17866312,2448421,303225158,18877421,284347737,57020194,5948228,51071966
"ABR 2000",360996144,296379713,4835409,38860110,19828528,18958697,17866312,2470028,299552008,18742542,280809466,58974109,6504245,52469864
"MAY 2000",362887252,298334298,4878404,38605832,19976334,18958697,17866312,2491868,301543830,19310254,282233576,58851554,6226186,52625368
"JUN 2000",365742702,301185763,5097935,38397603,20000516,18958697,17897812,2523434,304454545,19986219,284468326,58764723,6370889,52393834
"JUL 2000",369435709,304192522,5018748,39346190,19817364,18958697,17897812,2551405,308098432,18883961,289214471,58785873,6660288,52125585
"AGO 2000",367762765,303521070,4912315,38465673,19802823,18958697,17897812,2564332,307223883,16884980,290338903,57974550,6245382,51729168
"SEP 2000",369100436,304612611,5041142,38633010,19784288,18958697,17929312,2569814,308721264,15038560,293682704,57809358,5986773,51822585
"OCT 2000",371976984,306961983,5033963,39189507,19762147,18958697,17929312,2577987,311349595,14791125,296558470,58049402,5975068,52074334
"NOV 2000",373649183,308710705,5244450,38870774,19793870,18958697,17929312,2582940,313460113,14098262,299361850,57606131,5631914,51974217
"DIC 2000",374557237,309439129,5374665,39474226,19792729,18831547,18355059,2594690,314606853,13280956,301325898,57355694,5808667,51547027
"ENE 2001",369688816,304802744,5308881,39472406,19628297,18831547,18355059,2598728,309876179,13555585,296320594,57213909,6260411,50953498
"FEB 2001",369285747,303800912,5367131,39882707,19758510,18831547,18355059,2592346,309267748,13307064,295960685,57425653,6088098,51337555
"MAR 2001",372829621,307139706,5452543,40004627,19731758,18831547,18330559,2588403,312867677,12936393,299931284,57373541,5721222,51652319
"ABR 2001",372356420,305875522,5522483,40762679,19694748,18831547,18330559,2598242,311390246,13002646,298387600,58367932,6286410,52081522
"MAY 2001",374286514,308225349,5440386,40390449,19729342,18831547,18330559,2619788,313796988,13119042,300677945,57869739,5828748,52040991
"JUN 2001",377138238,310861544,5509905,40708938,19849364,18831547,18623059,2640415,316190153,12441854,303748300,58307670,6073479,52234191
"JUL 2001",379193620,311611007,5494811,41922564,19956750,18831547,18623059,2665603,317292639,12705075,304587563,59235378,7471450,51763928
"AGO 2001",377142269,310390208,5638538,41297102,19607934,18831547,18623059,2670459,316902633,12684164,304218469,57569177,6816726,50752451
"SEP 2001",378281092,311537052,5582894,41365110,19563049,18831547,18598559,2670772,318282943,12751703,305531240,57327378,6590381,50736997
"OCT 2001",378222740,310563850,5677094,42149440,19599369,18831547,18598559,2646996,317610850,12661594,304949256,57964895,7443216,50521679
"NOV 2001",377538635,310129694,5759627,41753517,19662811,18831547,18598559,2583992,317478411,12746767,304731644,57476233,6776023,50700210
"DIC 2001",378883415,309354793,6135186,43706299,20169699,18704397,19186959,2521727,318532106,13132327,305399779,57829583,6798777,51030806
"ENE 2002",379017848,308384027,5926552,44751250,20438581,18704397,19186959,1683601,318408693,13441116,304967576,58925555,7052723,51872832
"FEB 2002",375772547,304216578,6078488,45490871,20469172,18704397,19186959,1765199,313894354,13832861,300061493,60112994,7320835,52792159
"MAR 2002",379001637,309380484,6115669,43502501,20461046,18704397,19162459,1824166,319143927,14383841,304760086,58033545,6521208,51512337
"ABR 2002",382309603,311428019,6256762,44574065,20604058,18704397,19257697,1883172,322073166,14224878,307848288,58353265,6816584,51536681
"MAY 2002",385278475,316221715,6234775,44138445,20645179,18704397,20666036,1910607,325210250,14170265,311039985,58157618,6595465,51562153
"JUN 2002",383191140,314017738,6308943,44379771,20987715,18704397,21207423,1937193,322292816,14069305,308223512,58961131,6705555,52255576
"JUL 2002",378385918,308229039,6310000,46209360,20948083,18704397,22014961,1990380,317289570,16511088,300778482,59105968,7297541,51808427
"AGO 2002",375565938,307528333,6320446,44315784,20711940,18704397,22014961,2027891,316530888,14887570,301643318,57007159,5785827,51221332
"SEP 2002",381131103,313337951,6370521,44145693,20660090,18704397,22087548,2052235,322406645,15642405,306764240,56672223,5422824,51249399
"OCT 2002",382507526,314276063,6479235,44346411,20867301,18704397,22165880,2095858,324471961,16148416,308323545,55939706,5085289,50854417
"NOV 2002",382559797,314585204,6558074,45851698,20859893,18704397,23999470,2111326,323318195,16609980,306708215,57130275,5227179,51903096
"DIC 2002",384145341,314705350,6869571,46470791,21521637,18577247,23999255,2134424,323778620,15702354,308076266,58232297,6014388,52217909
"ENE 2003",379076924,309495465,6679486,46605443,21633539,18577247,23914255,2164211,318696756,18347643,300349113,58215957,6711937,51504020
"FEB 2003",381225091,311454852,6736619,46589887,21780742,18577247,23914255,2129921,321321504,17213815,304107688,57773666,6342335,51431331
"MAR 2003",381976075,312389498,6797895,46810174,21888766,18577247,24487505,2080347,321751006,17591331,304159675,58144721,6219061,51925660
"ABR 2003",388748555,318165843,6882774,47844993,22052357,18577247,24774658,2079560,327822026,17700504,310121522,58846969,7130682,51716287
"MAY 2003",385293604,315249421,7400859,48056828,22160201,17168553,24742258,2123124,325767276,17412389,308354888,57403203,6788472,50614731
"JUN 2003",389134304,318363535,7106565,48247798,22377267,18577247,25538108,2158015,328272936,16653451,311619485,58703353,6532287,52171066
"JUL 2003",386587967,315152465,7461272,49008314,22592600,18577247,26203931,2216371,325061228,17846547,307214682,59310368,7397955,51912413
"AGO 2003",379466305,311043086,7458365,48113717,22262415,17168553,26579831,2239350,320350259,16887436,303462823,56876695,6607120,50269575
"SEP 2003",382788224,314047788,7526664,48121385,22285323,18577247,27770183,2257689,322273958,16787870,305486088,58256577,6738165,51518412
"OCT 2003",381214619,312044029,7624626,48403109,22335791,18577247,27770183,2256437,320483537,16517904,303965634,58474645,6582185,51892460
"NOV 2003",381202619,314337967,7689128,47432010,22245143,17168553,27670183,2269260,323069284,17436379,305632905,55864075,5865332,49998743
"DIC 2003",382775032,312895896,7607589,49027796,22913942,18450097,28120287,2306967,321441284,16670743,304770540,59026781,6507438,52519343
"ENE 2004",386087478,318524404,7372095,50072527,22929186,17168553,29979287,2322894,324875687,16410284,308465403,58888897,7883253,51005644
"FEB 2004",385066596,317545980,7399911,49936561,22994877,17168553,29979287,2329120,324212185,14119126,310093059,58525291,7296019,51229272
"MAR 2004",388781458,321582539,7484278,50096214,23248184,18450097,32079854,2300785,326365725,15118576,311247149,60114949,7392837,52722112
"ABR 2004",389000044,321137142,7532005,50650275,23534235,18450097,32303711,2322520,325410558,13399079,312011479,61266965,8264773,53002192
"MAY 2004",389477062,322017793,7599005,50221709,23669622,18450097,32481164,2357612,326165424,15146643,311018781,60954026,7740266,53213760
"JUN 2004",390339830,323254093,7773414,50414513,23774376,18450097,33326664,2429740,326725830,13357675,313368154,61184260,7754293,53429967
"JUL 2004",384468806,317320862,7727026,51179985,24077882,17168553,33005502,2476868,321146624,15323911,305822713,60845314,7788002,53057312
"AGO 2004",380286428,314614593,7737211,50559397,23689332,18450097,34764202,2508796,316492633,13545779,302946855,61284998,7240312,54044686
"SEP 2004",386681667,321320144,7767183,50488661,23651234,18450097,34995652,2519106,323214024,15390079,307823945,60948537,7066242,53882295
"OCT 2004",378019954,312797137,7847619,50895291,23644906,17168553,34333552,2511884,316087312,14621241,301466071,59420758,6626687,52794071
"NOV 2004",387555905,322617812,8253357,51120101,23662292,18450097,36547754,2520960,321450523,15696474,305754049,63584422,5891011,57693411
"DIC 2004",389887930,323416698,8522470,52053662,24153049,18322947,36580895,2543040,320459553,15283545,305176009,66885337,6553963,60331374
"ENE 2005",396025596,327457763,8116533,53754557,24071592,18322947,35697795,2562423,325427584,16859822,308567762,68035589,7179361,60856228
"FEB 2005",391777823,322545138,8205473,54149870,24149691,18322947,35595295,2558635,320329356,14587132,305742224,68889833,7202851,61686982
"MAR 2005",394722055,324908624,8416228,55482688,24543282,18322947,36951714,2549667,321035904,14968590,306067314,71136484,6436184,64700300
"ABR 2005",388022373,322553915,8130793,53602923,24788948,18322947,39377152,2571834,319312946,12214188,307098758,66137593,5944414,60193179
"MAY 2005",382681810,325826182,8124037,45345191,24622799,18322947,39559346,2615867,324094762,13177299,310917463,55971181,5582559,50388622
"JUN 2005",393036823,325927914,8159893,55394479,24735903,18322947,39504313,2667895,324365274,11795352,312569922,66003654,5792247,60211407
"JUL 2005",376933053,319220132,8219968,46353372,24950154,18322947,40133520,2711839,317401564,12372368,305029195,56819650,6214281,50605369
"AGO 2005",373285910,316931089,8245740,45359612,24530841,18322947,40104320,2767559,314981940,11016820,303965120,55536411,5421855,50114556
"SEP 2005",390458626,323610893,8436563,55384181,24831785,18322947,40127743,2782541,321843323,11820935,310022388,65832762,5691517,60141245
"OCT 2005",377688939,320914163,8523739,44880241,24897426,18322947,39849577,2785262,319223098,11183437,308039661,55680579,5182324,50498255
"NOV 2005",382665149,325325126,8372509,46279717,24784714,18322947,40419863,2791884,325230370,12110308,313120061,54642896,3983054,50659842
"DIC 2005",393479085,322907079,8889454,57880141,25534636,18245987,39978213,2797723,323783923,11077185,312706739,66897438,4567012,62330426
"ENE 2006",377945472,317643217,8548665,47027493,25456524,18245987,38976413,2803368,319318995,11832022,307486973,55823109,4752514,51070595
"FEB 2006",377948250,318376160,8556565,45997117,25287485,18245987,38515063,2811802,320625039,10994002,309631036,54511410,4586433,49924977
"MAR 2006",393984385,323201073,8813627,57042607,25937598,18245987,39256507,2807608,325097603,12078321,313019283,66079174,4697230,61381944
"ABR 2006",379218908,318296339,8664862,46865764,26043463,18245987,38897507,2827039,320206171,10776299,309429873,56185697,5144612,51041085
"MAY 2006",379726432,318722926,8851646,46748472,26054908,18245987,38897507,2852864,321874099,11876989,309997109,54999469,4471778,50527691
"JUN 2006",390269629,317527923,9149365,57133900,27155279,18245987,38942825,2910358,321211871,10961114,310250757,66147401,4735110,61412291
"JUL 2006",383933861,320867263,8960025,48138558,26921700,18245987,39199671,2951066,324260597,11791559,312469038,56722198,6011095,50711103
"AGO 2006",379765656,319308109,8660459,46323343,26728613,18245987,39500855,2988543,322297005,11246595,311050409,54480108,4213001,50267107
"SEP 2006",394583451,322623975,8995930,57451367,26979992,18245987,39713800,3015161,325715265,12235851,313479414,65853025,5160962,60692063
"OCT 2006",377463209,314670161,8996653,46913896,26904035,18245987,38267523,3031347,319553830,11618059,307935772,54878032,4666512,50211520
"NOV 2006",381052317,317650792,9041668,48197049,26959332,18245987,39042512,3041950,322958742,12291383,310667359,55051624,4585000,50466624
"DIC 2006",392132170,316757155,9611732,59125625,27534258,18169028,39065628,3063768,321796803,11379059,310417744,67271599,4859458,62412141
"ENE 2007",386616267,322598307,9518055,48114562,27281943,18169028,39065628,3076442,327586115,12152211,315433905,55953710,4741254,51212456
"FEB 2007",387285276,322176752,9490954,48257496,28256674,18169028,39065628,3069204,327186698,11758291,315428407,57029374,5332036,51697338
"MAR 2007",398733537,324282118,9305148,59027564,28980306,18169028,41030627,3081736,327962840,14121234,313841606,67688960,5195349,62493611
"ABR 2007",386028660,321075451,9330478,49229326,28911104,18169028,40686727,3102375,325148787,13819832,311328956,57777498,5949084,51828414
"MAY 2007",387150338,323249691,9290403,49445965,28682453,17168553,40686727,3125701,327452636,16081729,311370907,56572001,5602817,50969184
"JUN 2007",400011762,325917630,9290723,59520785,28867411,17168553,40753340,3146662,330485280,15842834,314642445,66379820,6093094,60286726
"JUL 2007",380482987,317216902,8943467,48839005,28917075,17168553,40602014,3206439,321919483,17747630,304171853,55357066,5434845,49922221
"AGO 2007",375911061,315650887,8921087,48252731,28716496,17168553,42798693,3230519,318068536,18499422,299569114,54612005,4814064,49797941
"SEP 2007",391299887,320932871,8732216,58435581,28929094,17168553,42898428,3264930,323449427,21105046,302344381,64585530,5192278,59393252
"OCT 2007",371055541,307738009,8774517,50085372,28904732,17168553,41615642,3286874,312183930,22248841,289935089,55584737,4832273,50752464
"NOV 2007",374174686,311637289,7564224,50727040,28693222,17168553,41615642,3295884,315893388,25119338,290774050,54985414,4844165,50141249
"DIC 2007",384661956,312082531,6786557,61959637,29384556,17168553,42719878,3306554,313618471,26031053,287587419,67736931,4928097,62808834
"ENE 2008",365203613,305598037,6756758,48411844,28928336,17168553,41659914,3319102,308030090,29489601,278540489,53854421,5598039,48256382
"FEB 2008",369885803,309434845,6758616,49012669,29171034,17168553,41659914,3316250,311661880,31006785,280655095,54907672,6583512,48324160
"MAR 2008",380269889,308688030,6785317,63680252,29427167,17168553,45479430,3313740,307331305,30301012,277030294,69624843,6721955,62902888
"ABR 2008",368381239,309862861,7385623,49478828,29862966,17168553,45377591,3324714,310176344,31440374,278735971,54880181,6991812,47888369
"MAY 2008",373711813,314323879,7138692,50282747,30368990,17168553,45571048,3336622,314662844,31141398,283521446,55712347,6688658,49023689
"JUN 2008",390638162,315859753,7158996,66472734,30416197,17168553,46438072,3371945,315746008,32833736,282912272,71520209,7189862,64330347
"JUL 2008",377534353,321530167,7102604,50532880,30789783,17168553,49589633,3396288,318630302,32577956,286052345,55507764,6307853,49199911
"AGO 2008",378068365,323685749,7100219,50212604,30552777,17168553,50651537,3418990,319604636,34447733,285156903,55044739,5431027,49613712
"SEP 2008",403721889,333178412,7176354,66239069,30509758,17168553,50550256,3437084,328979116,36980888,291998228,71305690,6433087,64872603
"OCT 2008",387382231,330597355,6650550,51376655,30712044,17168553,49122925,3434068,327596180,41500057,286096123,56351983,7796826,48555157
"NOV 2008",406604073,348830202,6804118,52420461,30560032,17168553,49179293,3426693,346264537,48356729,297907808,56912842,7501975,49410867
"DIC 2008",440620965,362890043,5969839,74496989,31775025,17168553,51679484,3419592,356381443,52691874,303689568,80819930,8089154,72730776
"ENE 2009",440498288,364935600,6186720,73596922,31389976,17168553,52779484,3410964,357114170,58302654,298811516,79973154,8732551,71240603
"FEB 2009",457305237,379071283,6303129,75790372,31418724,17168553,52446825,3397839,372909608,60246204,312663404,80997789,9327411,71670378
"MAR 2009",473710175,392919826,6102258,79469455,31440921,17168553,53390839,3386223,387280732,64332394,322948338,83043219,9256228,73786991
"ABR 2009",486588493,408641150,6121582,79740598,31692908,17168553,56776299,3377045,401303981,69842888,331461093,81907467,9334898,72572569
"MAY 2009",492602105,416073009,4680972,81990885,31959845,17168553,59271159,3387361,405795890,70550217,335245673,83418854,9646536,73772318
"JUN 2009",511173392,427485318,4661730,88051487,32743698,17168553,58937393,3412914,418949126,72185518,346763608,88811352,12026302,76785050
"JUL 2009",510802673,428761736,4680839,86181468,34685227,17168553,60675149,3439427,419162140,74364075,344798066,88201106,11492445,76708661
"AGO 2009",513920956,434712605,4663848,86361313,34378932,17168553,63364294,3455181,422196274,76681550,345514724,88269502,11176154,77093348
"SEP 2009",533678179,450427085,4721865,90167087,34617971,17168553,63424381,3465758,438477916,78603242,359874674,91734505,10947605,80786900
"OCT 2009",544493301,460689782,4722949,90754544,34521855,17168553,63364381,3462231,450061140,81258667,368802473,90969931,11894669,79075262
"NOV 2009",560265172,473832654,7753319,91071851,34076093,17168553,63637297,3455969,466398871,85460833,380938038,90410333,11232589,79177744
"DIC 2009",569535358,479540600,8128915,93270496,34700405,17168553,63273610,3467626,472677790,86101758,386576032,93389942,9775266,83614676
"ENE 2010",561748894,471383013,8143300,92900725,35426914,17168553,63273610,3476385,464557230,85828356,378728874,93715279,11965106,81750173
"FEB 2010",569094792,478234815,8186021,95044106,36015499,17168553,65554201,3473087,470170940,80782919,389388021,95450765,13136346,82314419
"MAR 2010",586850728,490251076,8240517,101724500,36167731,17168553,66701649,3466165,485635826,79711122,405924704,97748737,12721428,85027309
"ABR 2010",586075402,492061938,6750383,102520452,36390666,17168553,68816589,3464753,485296638,74488304,410808334,97314011,12455589,84858422
"MAY 2010",594925708,499325350,6764808,104647738,36332343,17168553,69313084,3485965,492120635,72702074,419418561,99319108,12085191,87233917
"JUN 2010",609031983,508796795,6820657,111480500,36513902,17168553,71748424,3511672,500720255,71474243,429246012,104800055,12987782,91812273
"JUL 2010",608166408,508147079,6832837,111070919,36738546,17168553,71791526,3542373,499610060,71244364,428365696,105013975,12937119,92076856
"AGO 2010",608043161,514188271,6847025,109738502,36221390,17168553,76120579,3555391,501216748,71371726,429845022,103271022,11659914,91611108
"SEP 2010",620541066,522186545,6876758,114359971,36219979,17168553,76270740,3568053,509492525,70784786,438707739,107480488,12080390,95400098
"OCT 2010",634469477,535720834,6888492,115317808,35886853,17168553,76513063,3573538,523332253,73480496,449851757,107563686,11744942,95818744
"NOV 2010",640613385,541042963,6891535,117558650,35364743,17168553,77413059,3563957,530275311,71418510,458856801,106774117,10259324,96514793
"DIC 2010",649152530,544789801,6766843,124239198,35452660,17168553,79264524,3583531,533299766,68896608,464403158,112269233,8438141,103831092
"ENE 2011",662069033,552913507,8792348,125753381,36404100,17168553,78962856,3598017,543805879,67490154,476315726,114665137,10616723,104048414
"FEB 2011",678323641,562487920,13851509,127412528,37261861,17168553,79858729,3602134,557505971,67570303,489935668,117215536,11733618,105481918
"MAR 2011",691086365,571990217,15952021,131113590,37365714,17168553,82503729,3601743,566793167,62613006,504180161,120691455,12922982,107768473
